geox,geoy,geo_id,state,county,name,censusarea,statename,pop,popy,popx
-86.64119617,32.53615292,0500000US01001,1,1,Autauga,594.436,Alabama,54571,32.500389,-86.494165
-86.56975625,33.98524766,0500000US01009,1,9,Blount,644.776,Alabama,57322,33.955243,-86.591491
-85.38992378,32.91159371,0500000US01017,1,17,Chambers,596.531,Alabama,34215,32.860439,-85.266474
-86.71979303,32.85025258,0500000US01021,1,21,Chilton,692.854,Alabama,43643,32.877547,-86.687406
-87.80588967,34.7016442,0500000US01033,1,33,Colbert,592.619,Alabama,54428,34.723385,-87.685151
-85.61103126,31.43067791,0500000US01045,1,45,Dale,561.15,Alabama,50251,31.383346,-85.641269
-86.14524732,32.59769369,0500000US01051,1,51,Elmore,618.485,Alabama,79303,32.559652,-86.225647
-87.63241146,32.76016952,0500000US01065,1,65,Hale,643.943,Alabama,15760,32.775804,-87.626084
-87.31379317,34.51928063,0500000US01079,1,79,Lawrence,690.678,Alabama,34339,34.543683,-87.272414
-86.98448066,34.81041614,0500000US01083,1,83,Limestone,559.936,Alabama,82782,34.815612,-86.938972
-87.36839559,31.5688206,0500000US01099,1,99,Monroe,1025.675,Alabama,23068,31.505611,-87.360894
-88.08929128,33.27938285,0500000US01107,1,107,Pickens,881.408,Alabama,19746,33.292973,-88.066472
-86.16749103,33.37746734,0500000US01121,1,121,Talladega,736.775,Alabama,82291,33.372083,-86.169238
-159.8345291,60.9133146,0500000US02050,2,50,Bethel,40570.004,Alaska,17013,60.679946,-162.151263
-135.3244495,58.18842094,0500000US02105,2,105,Hoonah-Angoon,7524.915,Alaska,2150,58.078282,-135.384163
-151.5668246,60.26555507,0500000US02122,2,122,Kenai Peninsula,16075.331,Alaska,55400,60.292592,-151.064475
-153.7878828,57.66680721,0500000US02150,2,150,Kodiak Island,6549.579,Alaska,13592,57.779137,-152.460881
-156.1846589,58.64175248,0500000US02164,2,164,Lake and Peninsula,23652.009,Alaska,1631,58.557351,-156.371652
-164.0299951,64.90154016,0500000US02180,2,180,Nome,22961.761,Alaska,9492,64.457026,-165.295491
-159.7205478,67.05600519,0500000US02188,2,188,Northwest Arctic,35572.584,Alaska,7523,66.943735,-161.638185
-132.7016049,55.5049957,0500000US02198,2,198,Prince of Wales-Hyder,3922.873,Alaska,5559,55.448164,-132.560842
-92.51295036,35.58095779,0500000US05141,5,141,Van Buren,708.143,Arkansas,17295,35.567839,-92.421475
-91.74526552,35.25631145,0500000US05145,5,145,White,1035.075,Arkansas,77076,35.243736,-91.767388
-120.6482354,38.44720476,0500000US06005,6,5,Amador,594.583,California,38091,38.394208,-120.775729
-122.3877926,39.59710834,0500000US06021,6,21,Glenn,1313.947,California,28122,39.663418,-122.177491
-122.7555041,39.09871539,0500000US06033,6,33,Lake,1256.464,California,64665,38.973362,-122.734609
-119.9097311,37.57934614,0500000US06043,6,43,Mariposa,1448.816,California,18251,37.542748,-119.957219
-122.3289532,38.50782922,0500000US06055,6,55,Napa,748.362,California,136484,38.329075,-122.321646
-122.0436737,40.76207584,0500000US06089,6,89,Shasta,3775.402,California,177223,40.580269,-122.299961
-120.9974922,37.55804068,0500000US06099,6,99,Stanislaus,1494.827,California,514453,37.619147,-120.955577
-121.3473603,39.26629857,0500000US06115,6,115,Yuba,631.839,California,72155,39.13883,-121.506626
-105.7865316,37.57336381,0500000US08003,8,3,Alamosa,722.643,Colorado,15445,37.483069,-105.877245
-105.352037,40.09322846,0500000US08013,8,13,Boulder,726.289,Colorado,294567,40.063299,-105.183981
-105.0414801,39.96479924,0500000US08014,8,14,Broomfield,33.034,Colorado,55889,39.936888,-105.055491
-103.7841701,38.32497173,0500000US08025,8,25,Crowley,787.421,Colorado,5823,38.188547,-103.857439
-104.8776306,39.75821238,0500000US08031,8,31,Denver,153,Colorado,600158,39.72143,-104.955068
-104.9268953,39.3291166,0500000US08035,8,35,Douglas,840.248,Colorado,285465,39.48527,-104.879712
-105.5241481,39.85604187,0500000US08047,8,47,Gilpin,149.896,Colorado,5441,39.85702,-105.48021
-82.05919998,29.20840415,0500000US12083,12,83,Marion,1584.546,Florida,331298,29.140116,-82.123367
-81.07257942,25.37205316,0500000US12087,12,87,Monroe,983.282,Florida,73090,24.739678,-81.263945
-81.31832054,28.51213652,0500000US12095,12,95,Orange,903.429,Florida,1145956,28.532855,-81.384377
-80.47093888,27.37756458,0500000US12111,12,111,St. Lucie,571.926,Florida,277789,27.338067,-80.353183
-82.08005773,28.70803205,0500000US12119,12,119,Sumter,546.933,Florida,93420,28.825768,-82.035469
-82.37773321,30.04195448,0500000US12125,12,125,Union,243.556,Florida,15535,30.010768,-82.356919
-82.28946948,31.74852749,0500000US13001,13,1,Appling,507.081,Georgia,18236,31.77388,-82.338473
-83.71436587,33.99175187,0500000US13013,13,13,Barrow,160.309,Georgia,69367,33.993054,-83.7275
-81.44354283,32.01374764,0500000US13029,13,29,Bryan,435.967,Georgia,30233,31.979537,-81.375954
-82.07655994,32.39834152,0500000US13043,13,43,Candler,243.044,Georgia,10998,32.399861,-82.062305
-85.34505794,34.47406178,0500000US13055,13,55,Chattooga,313.338,Georgia,26015,34.495509,-85.344167
-83.35712415,33.9519794,0500000US13059,13,59,Clarke,119.2,Georgia,116714,33.950406,-83.380863
-83.76714787,31.18888821,0500000US13071,13,71,Colquitt,544.153,Georgia,45498,31.180955,-83.768671
-83.98388857,32.71745597,0500000US13079,13,79,Crawford,324.888,Georgia,12630,32.707681,-83.934002
-83.16943326,32.16998771,0500000US13091,13,91,Dodge,495.89,Georgia,21796,32.212815,-83.175591
-82.30242129,32.59012156,0500000US13107,13,107,Emanuel,680.604,Georgia,22598,32.58586,-82.307952
-84.49116455,33.41033095,0500000US13113,13,113,Fayette,194.342,Georgia,106567,33.427941,-84.512414
-84.45280624,34.69071344,0500000US13123,13,123,Gilmer,426.54,Georgia,28292,34.677249,-84.483646
-107.299196,37.82012306,0500000US08053,8,53,Hinsdale,1117.251,Colorado,843,37.996875,-107.29653
-106.3414668,40.66703352,0500000US08057,8,57,Jackson,1613.723,Colorado,1394,40.692851,-106.291292
-105.2490433,39.58580195,0500000US08059,8,59,Jefferson,764.208,Colorado,534543,39.720524,-105.128819
-103.5156283,38.98627999,0500000US08073,8,73,Lincoln,2577.626,Colorado,5467,39.173232,-103.613697
-108.5976611,37.33970291,0500000US08083,8,83,Montezuma,2029.527,Colorado,25535,37.370817,-108.557116
-102.3550134,40.59380119,0500000US08095,8,95,Phillips,687.928,Colorado,4442,40.599517,-102.387354
-106.3847838,37.5836865,0500000US08105,8,105,Rio Grande,911.958,Colorado,11982,37.616658,-106.238805
