id,CountyName,StateName,geocentroid,popcentroid,difference,area,population,WeightedDifference
72097,Mayagüez,Puerto Rico,"18.17509042,-67.33299996","18.201082,-67.132903",21363.3,201.1,89080,1506.5
12087,Monroe,Florida,"25.37205316,-81.07257942","24.739678,-81.263945",72663.2,2546.69,73090,1439.9
22087,St. Bernard,Louisiana,"29.8689846,-89.56661526","29.928239,-89.934425",36126.7,977.76,35897,1155.3
22075,Plaquemines,Louisiana,"29.41895849,-89.59029336","29.72176,-89.90076",45073.2,2019.96,23042,1002.9
32031,Washoe,Nevada,"40.6668795,-119.6645518","39.535558,-119.795493",126113.2,16323.05,421407,987.1
08005,Arapahoe,Colorado,"39.650083,-104.3364704","39.647528,-104.845968",43730.9,2067.07,572003,961.9
53031,Jefferson,Washington,"47.74771512,-123.5754607","48.008216,-122.825295",63147.4,4671.56,29872,923.9
26083,Keweenaw,Michigan,"47.62902506,-88.44249209","47.333639,-88.30247",34495.1,1398.88,2156,922.3
08001,Adams,Colorado,"39.8736602,-104.3385957","39.874297,-104.927473",50378.8,3024.21,441603,916.1
32023,Nye,Nevada,"38.0418989,-116.4717939","36.468656,-116.165792",176699.7,47090.96,43946,814.3
49023,Juab,Utah,"39.70120004,-112.7816801","39.750368,-111.894782",76233.1,8785.96,10246,813.3
23025,Somerset,Maine,"45.51012171,-69.95891292","44.821921,-69.685757",79440.8,10164.16,52228,788
22071,Orleans,Louisiana,"30.07093321,-89.92721782","29.972699,-90.05284",16292.1,438.8,343829,777.8
06061,Placer,California,"39.06259281,-120.7239235","38.844511,-121.182466",46540.5,3644.14,348432,771
53073,Whatcom,Washington,"48.82581175,-121.715438","48.820552,-122.485318",56535.4,5456.73,201140,765.3
06065,Riverside,California,"33.74350883,-115.9956715","33.800439,-117.066205",99364.9,18664.7,2189641,727.3
37055,Dare,North Carolina,"35.73563079,-75.80100374","35.907564,-75.674875",22222.5,993.05,33920,705.2
27075,Lake,Minnesota,"47.64281888,-91.44551268","47.180205,-91.55743",52121.8,5463.04,10866,705.2
34031,Passaic,New Jersey,"41.03618131,-74.29678651","40.925361,-74.191473",15166.3,478.09,501226,693.6
16073,Owyhee,Idaho,"42.58179696,-116.1703761","43.376748,-116.681558",97660.9,19853.58,11526,693.1
48465,Val Verde,Texas,"29.89445466,-101.1519727","29.38073,-100.898068",62025.7,8144.86,48879,687.3
08113,San Miguel,Colorado,"38.00329155,-108.4072494","37.974202,-107.960034",39418.5,3332.31,7359,682.9
49003,Box Elder,Utah,"41.5208435,-113.0858648","41.591026,-112.09977",82632.3,14880.91,49975,677.4
53057,Skagit,Washington,"48.47891204,-121.7350185","48.466681,-122.335882",44449.1,4483.79,116901,663.8
49043,Summit,Utah,"40.86858461,-110.9604847","40.727812,-111.47076",45812.4,4847.71,36324,658
06069,San Benito,California,"36.60784535,-121.0749923","36.843404,-121.403859",39324,3596.74,55269,655.7
23021,Piscataquis,Maine,"45.83932478,-69.28520278","45.242097,-69.263375",66399.2,10258.57,17535,655.6
06027,Inyo,California,"36.51173693,-117.4129746","37.160247,-118.267513",104832,26368.35,18546,645.6
36043,Herkimer,New York,"43.42045876,-74.96218063","43.070536,-74.995034",38967,3655.69,64519,644.5
53017,Douglas,Washington,"47.73951744,-119.6910492","47.511897,-120.172826",44178.9,4711.87,38431,643.6
30049,Lewis and Clark,Montana,"47.12732345,-112.3935411","46.64477,-112.021955",60661.7,8958.32,63395,640.9
51199,York,Virginia,"37.24713814,-76.56303867","37.172279,-76.49193",10433.8,271.38,65464,633.4
16067,Minidoka,Idaho,"42.85748553,-113.6352926","42.613266,-113.712227",27851.7,1962.15,20069,628.8
06053,Monterey,California,"36.21777145,-121.2376088","36.611722,-121.646162",57041.4,8496.7,415057,618.8
02150,Kodiak Island,Alaska,"57.66680721,-153.7878828","57.779137,-152.460881",80056.7,16963.33,13592,614.7
49055,Wayne,Utah,"38.3237805,-110.910152","38.361636,-111.467245",48883.1,6373.12,2778,612.3
41045,Malheur,Oregon,"43.19536837,-117.6220273","43.971312,-117.062987",97317.8,25608.59,31313,608.1
21075,Fulton,Kentucky,"36.55281812,-89.18983427","36.538176,-89.035017",13957,532.25,6813,605
30077,Powell,Montana,"46.85309744,-112.9342948","46.449212,-112.760484",46827.5,6025.33,7027,603.3
02013,Aleutians East,Alaska,"55.3632202,-161.983195","54.860151,-162.901536",81060.8,18083.15,3141,602.8
53003,Asotin,Washington,"46.18869592,-117.1986232","46.388456,-117.067274",24402.8,1647.78,21623,601.2
15005,Kalawao,Hawaii,"21.17503715,-156.9511294","21.188495,-156.979972",3345.3,31.06,90,600.3
16051,Jefferson,Idaho,"43.81969404,-112.309689","43.691123,-111.969394",30905.2,2832.15,26140,580.7
46093,Meade,South Dakota,"44.56598461,-102.7163165","44.296996,-103.288909",54515.8,8989.81,25434,575
21037,Campbell,Kentucky,"38.94630627,-84.3765175","39.035049,-84.44141",11343.1,391.89,90336,573
06071,San Bernardino,California,"34.84086459,-116.177693","34.190248,-117.357474",130170.1,51947.23,2035210,571.1
16035,Clearwater,Idaho,"46.67210667,-115.6617227","46.48524,-116.185221",45184.9,6364.31,8761,566.4
46129,Walworth,South Dakota,"45.43007844,-100.0312988","45.520019,-100.313424",24219.2,1835.34,5438,565.3
19193,Woodbury,Iowa,"42.38973474,-96.04375148","42.483225,-96.344174",26812.3,2260.63,102172,563.9
53059,Skamania,Washington,"46.02309627,-121.9162448","45.691397,-121.925675",36875.2,4288.18,11066,563.1
46065,Hughes,South Dakota,"44.39032162,-99.99727182","44.382662,-100.305241",24554.9,1920.63,17022,560.3
04027,Yuma,Arizona,"32.76909353,-113.906256","32.65004,-114.598663",66247.7,14281.17,195751,554.4
12097,Osceola,Florida,"28.06175702,-81.14781416","28.266765,-81.383484",32432.9,3438.09,268685,553.1
41047,Marion,Oregon,"44.90126714,-122.5775048","44.96169,-122.954793",30530.9,3062.21,315335,551.7
32015,Lander,Nevada,"39.93323848,-117.0382944","40.520911,-116.94321",65754.5,14219.31,5775,551.4
22099,St. Martin,Louisiana,"30.13139968,-91.61277445","30.229052,-91.835169",23999.3,1910.5,52160,549.1
26061,Houghton,Michigan,"46.89802474,-88.6874288","47.12765,-88.54161",27831.6,2613.55,36628,544.4
53021,Franklin,Washington,"46.53624827,-118.8989736","46.304218,-119.11931",30856.9,3217.21,78163,544
23019,Penobscot,Maine,"45.40041468,-68.65103553","44.953036,-68.79423",50977.6,8799.13,153923,543.5
16045,Gem,Idaho,"44.05341338,-116.4020252","43.884323,-116.506739",20581.5,1452.72,16719,540
